,0
0,2415295000
1,2417010000
2,2417012500
3,2417022500
4,2417045000
5,2417060000
6,2417080000
7,2417142500
8,2417152500
9,2417185000
10,2417212500
11,2417220000
12,2417245000
13,2417285000
14,2418075000
15,2418172500
16,2419292500
17,2419320000
18,2419445000
19,2419505000
20,2419517500
21,2419527500
22,2419540000
23,2419545000
24,2432012500
25,2432147500
26,2432160000
27,2432255000
28,2432265000
29,2432295000
30,2442617500
31,2444025000
32,2444052500
33,2444085000
34,2445287500
35,2445382500
36,2445495000
37,2446292500
38,2446382500
39,2446540000
40,2450537500
41,2450945000
42,2450992500
43,2451282500
44,2451287500
45,2451287500
46,2451287500
47,2451290000
48,2454287500
49,2456252500
50,2456275000
51,2456287500
52,2456330000
53,2456382500
54,2456410000
55,2456470000
56,2456500000
57,2456515000
58,2456547500
59,2456567500
60,2456610000
61,2456635000
62,2456657500
63,2456687500
64,2456712500
65,2456732500
66,2456762500
67,2456805000
68,2456827500
69,2456905000
70,2456940000
71,2456975000
72,2457007500
73,2457017500
74,2457037500
75,2457057500
76,2457087500
77,2457135000
78,2457155000
79,2457272500
80,2457347500
81,2458075000
82,2458100000
83,2458127500
84,2458210000
85,2458280000
86,2458327500
87,2459045000
88,2459057500
89,2459107500
90,2459302500
91,2459355000
92,2459422500
93,2459462500
94,2459577500
95,2459605000
96,2459637500
97,2459657500
98,2459685000
99,2459800000
100,2459900000
101,2459942500
102,2460005000
103,2460030000
104,2460120000
105,2460165000
106,2460230000
107,2460285000
108,2460317500
109,2460347500
110,2460370000
111,2460437500
112,2460477500
113,2460520000
114,2460575000
115,2460620000
116,2460650000
117,2460700000
118,2460750000
119,2460797500
120,2460912500
121,2460942500
122,2460995000
123,2461020000
124,2461135000
125,2461172500
126,2461237500
127,2461242500
128,2461430000
129,2461465000
130,2461492500
131,2461507500
132,2461522500
133,2461540000
134,2461550000
135,2462537500
136,2462547500
137,2462600000
138,2463002500
139,2472865000
140,2473355000
141,2481297500
142,2484297500
143,2487282500
144,2487282500
145,2490282500
146,2493375000
147,2493855000
148,2493927500
149,2494195000
150,2494447500
151,2505965000
152,2506010000
153,2506230000
154,2506295000
155,2510292500
156,2510702500
157,2510745000
158,2511012500
159,2511152500
160,2511227500
161,2511450000
162,2511485000
